23.04.2020                                                               Saída dinâmica de lista                                                                       1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Nome do fornecedor|Material|Qtd.pedido|Texto breve|Qtd.estoque
4239       TAPAJOS COMERCIO DE MEDI|4004122|10.0|ROXETIN 20MG C/30CP C1 (SUP)            |1
4239       TAPAJOS COMERCIO DE MEDI|4002169|10.0|AMYTRIL 25MG C/20CP                     |1
4239       TAPAJOS COMERCIO DE MEDI|4002178|10.0|RISPERIDON 3MG ADT C/30CP               |1
10337      TAPAJÓS COM DE PERF COSM|6000979|150.0|CR TRATAMENTO NIELY GOLD REC PROF430g   |15
3593       SB COMERCIO LTDA        |4004641|478.0|METAMUCIL NATURAL 210G                  |47
4239       TAPAJOS COMERCIO DE MEDI|4003530|1.0|DORIL ENXAQUECA 250MG 25BLX4CP COSMED   |0
4239       TAPAJOS COMERCIO DE MEDI|4000927|1.0|FLOGORAL CEREJA 12PAST                  |0
4239       TAPAJOS COMERCIO DE MEDI|4003954|2.0|MIRUGELL SOL OFT C/15ML (LAT)           |0
11760      COPRALON COMERCIAL DE PR|6000425|1.0|PICOLE PALITO KIBON FRUT CAJA 60ml-CX28 |0
11760      COPRALON COMERCIAL DE PR|6000425|1.0|PICOLE PALITO KIBON FRUT CAJA 60ml-CX28 |0
4916       MAPEMI-BRASIL MATERIAIS |4005289|100.0|STARFOR C 1G C/10CP EFERV (NTF)         |10
4916       MAPEMI-BRASIL MATERIAIS |4001795|108.0|RESFENOL LIQUIDO 100ML                  |10
4916       MAPEMI-BRASIL MATERIAIS |4004124|8.0|STILGRIP GRANULADO 5G (HTZ) CX50        |0
4916       MAPEMI-BRASIL MATERIAIS |4004150|150.0|BRONQTRAT INF 100ML NATULAB             |15
4916       MAPEMI-BRASIL MATERIAIS |4001064|200.0|BUSCOPLEX COMPOSTO FRASCO 20ML          |20
4916       MAPEMI-BRASIL MATERIAIS |4003565|150.0|MATHERLLY GEST C/30CP NATURELIFE        |15
4916       MAPEMI-BRASIL MATERIAIS |4000933|150.0|BROMELIN PROPOLIS 50ML                  |15
4916       MAPEMI-BRASIL MATERIAIS |4000934|150.0|BROMELIN SUS C/100ML                    |15
4916       MAPEMI-BRASIL MATERIAIS |4000924|144.0|FIGATIL C/150ML                         |14
4916       MAPEMI-BRASIL MATERIAIS |4000010|150.0|ALCACHOFRA 300MG CX 30CP                |15
4916       MAPEMI-BRASIL MATERIAIS |4005264|150.0|MAXALGINA XPE INF C/100ML (NTF)         |15
4916       MAPEMI-BRASIL MATERIAIS |4006286|150.0|VITAMINA D 50.000UI 10CAPS              |15
4916       MAPEMI-BRASIL MATERIAIS |4002910|150.0|HIDRAPLEX PO GUARANA CX 4SACHE 27,9G    |15
4916       MAPEMI-BRASIL MATERIAIS |4005630|150.0|HISTAMIX 10MG C/12CP (HEB)              |15
4239       TAPAJOS COMERCIO DE MEDI|4000696|120.0|SALONPAS PAIN RELIEF PATCH C/5EV        |12
3593       SB COMERCIO LTDA        |4006336|50.0|PROTECT D 50MG INF GOMA X 10            |5
3593       SB COMERCIO LTDA        |4006335|50.0|PROTECT D 125MG ADUL GOMA X 20          |5
3593       SB COMERCIO LTDA        |4006334|50.0|PROTECT 62,5MG INF 10SCH X 2G (SABOR LAR|5
3593       SB COMERCIO LTDA        |4006321|50.0|DRENISON LOÇAO 0,5MG/ML X30ML           |5
3593       SB COMERCIO LTDA        |4006320|50.0|DRENISON 0,125MG/G POM X30G             |5
3593       SB COMERCIO LTDA        |4002553|2.0|SUAVICID CREME 15G                      |0
3593       SB COMERCIO LTDA        |4000965|1.0|DESLORANA 5MG CX 10CP                   |0
3593       SB COMERCIO LTDA        |4000943|1.0|AH-ZUL 50MG CX 2CP                      |0
3593       SB COMERCIO LTDA        |4005222|60.0|CELERG XPE C/120ML (LGD)                |6
3593       SB COMERCIO LTDA        |4005495|60.0|LOSARTANA 50MG CO-REV CX 30 LEGRAND     |6
3593       SB COMERCIO LTDA        |4005228|100.0|COLIRIO LEGRAND C/20ML (LGD)            |10
3593       SB COMERCIO LTDA        |4000977|120.0|EXPEC XPE FRASCO 120ML                  |12
3593       SB COMERCIO LTDA        |4002568|50.0|ONCILEG POMADA TUDO 30G                 |5
3593       SB COMERCIO LTDA        |4003004|50.0|CELOCORT CREME BIS 30G LEGRAND          |5
3593       SB COMERCIO LTDA        |4001727|56.0|ONCILEG A 1MG/G POMADA TUDO 10G         |5
3593       SB COMERCIO LTDA        |4003576|60.0|DORICAL C/50CP LEGRAND                  |6
3593       SB COMERCIO LTDA        |4002630|50.0|INFLALID GTS FRASCO 15ML                |5
3593       SB COMERCIO LTDA        |4005223|60.0|CENEVIT 1G EFERV C/10CP LAR (LGD)       |6
3593       SB COMERCIO LTDA        |4005252|60.0|IBUFLEX 400MG 2BLT C/4CP (LGD)          |6
4916       MAPEMI-BRASIL MATERIAIS |4001448|120.0|NEOSORO SOL NASAL ADT FRASCO 30ML       |12
4916       MAPEMI-BRASIL MATERIAIS |4005270|65.0|NITAZOXANIDA 500MG 6 COMPRIMIDOS (NQG)  |6
4916       MAPEMI-BRASIL MATERIAIS |4002863|50.0|VALSARTANA 160MG C/30CP                 |5
4916       MAPEMI-BRASIL MATERIAIS |4002759|50.0|LINCOMICINA 600MG C/1APX2ML             |5
4916       MAPEMI-BRASIL MATERIAIS |4002743|60.0|NIMESULIDA 100MG C/12CP NEOQUIMICA      |6
4916       MAPEMI-BRASIL MATERIAIS |4003331|50.0|HECLIVIR 200MG 25CP NEOQUIMICA          |5
4916       MAPEMI-BRASIL MATERIAIS |4005268|30.0|NEOLEFRIN C/20CP (NQF)                  |3
4916       MAPEMI-BRASIL MATERIAIS |4003384|50.0|TERMOPIRONA 1G 10CP NEOQUIMICA          |5
4916       MAPEMI-BRASIL MATERIAIS |4001129|60.0|NEOLEFRIN XPE CEREJA FRASCO 60ML        |6
4916       MAPEMI-BRASIL MATERIAIS |4001230|100.0|CLOBETASOL CREME TUBO 30G-NEO QUIMICA   |10
4916       MAPEMI-BRASIL MATERIAIS |4002817|60.0|DICLOFENACO SODICO 50MG C/20CP          |6
4916       MAPEMI-BRASIL MATERIAIS |4001356|60.0|AMBROXOL ADT FRASCO 120ML-NEO QUIMICA   |6
4916       MAPEMI-BRASIL MATERIAIS |4001122|60.0|NEO BRASIL COLIRIO FRASCO 20ML          |6
4916       MAPEMI-BRASIL MATERIAIS |4002765|12.0|ORLISTATE 120MG C/84CP                  |1
4916       MAPEMI-BRASIL MATERIAIS |4001373|50.0|LORATADINA 1MG/ML FRASCO 100ML-NEO QUIMI|5
4916       MAPEMI-BRASIL MATERIAIS |4002862|50.0|TOBRAMICINA 3MG/ML 5ML                  |5
4916       MAPEMI-BRASIL MATERIAIS |4003325|24.0|GASTROL NATURAL SUS 250ML NEOQUIMICA    |2
4916       MAPEMI-BRASIL MATERIAIS |4001745|50.0|CIPROFLOXACINO 500MG CX 6CP-NEO QUIMICA |5
4916       MAPEMI-BRASIL MATERIAIS |4002755|60.0|ENALAPRIL 20MG C/30CP                   |6
4916       MAPEMI-BRASIL MATERIAIS |4002819|60.0|DROPROPIZINA XPE ADT C/120ML            |6
4916       MAPEMI-BRASIL MATERIAIS |4003324|54.0|GASTROL 20PAST NEOQUIMICA               |5
4916       MAPEMI-BRASIL MATERIAIS |4002826|60.0|HIDROCLOROTIAZIDA 50MG C/20CP           |6
4916       MAPEMI-BRASIL MATERIAIS |4002295|100.0|ACIDO FUSIDICO CREME C/15G (NQG)        |10
4916       MAPEMI-BRASIL MATERIAIS |4003340|60.0|IBUFRAN 600MG 30CP NEOQUIMICA           |6
4916       MAPEMI-BRASIL MATERIAIS |4001398|100.0|CLANISTIL SOLUÇÃO OFTALMICA FRASCO 15ML |10
4916       MAPEMI-BRASIL MATERIAIS |4001753|60.0|LOSARTANA POTASSICA 100MG 30CP NEOQUIMIC|6
4916       MAPEMI-BRASIL MATERIAIS |4002833|50.0|MESALAZINA 400MG C/30CP NQM             |5
4916       MAPEMI-BRASIL MATERIAIS |4001371|60.0|DROPROPIZINA XPE PED FRASCO 120ML-NEO QU|6
4916       MAPEMI-BRASIL MATERIAIS |4001232|100.0|CLOBETASOL POMADA TUBO 30G-NEO QUIMICA  |10
4916       MAPEMI-BRASIL MATERIAIS |4002859|60.0|TADALAFILA 20MG C/1CP                   |6
4916       MAPEMI-BRASIL MATERIAIS |4003317|36.0|FLAVONID 450/50MG 60CP NEOQUIMICA       |3
4916       MAPEMI-BRASIL MATERIAIS |4001766|60.0|NAPROXENO 550MG CX 20CP-NEO QUIMICA     |6
4916       MAPEMI-BRASIL MATERIAIS |4002864|60.0|VALSARTANA 80MG C/30CP                  |6
4916       MAPEMI-BRASIL MATERIAIS |4003338|60.0|IBUFRAN 300MG 20CP NEOQUIMICA           |6
4239       TAPAJOS COMERCIO DE MEDI|4002517|160.0|LACRIFILM COLIRIO GTS 5MG/ML 10ML (GEN) |16
4239       TAPAJOS COMERCIO DE MEDI|4001088|72.0|FENAREN 11,6MG/G GEL FRASCO 60G         |7
12005      SANTA MÔNICA DIST DE PRO|4005871|100.0|INDAPAMIDA LP 1,5MG 60 CPS PRATI        |10
12005      SANTA MÔNICA DIST DE PRO|4005881|100.0|MEMANTINA CLD 10MG 60 CPS PRATI         |10
12005      SANTA MÔNICA DIST DE PRO|4005880|100.0|MEMANTINA CLD 10MG 30 CPS PRATI         |10
12005      SANTA MÔNICA DIST DE PRO|4005879|50.0|MEMANTINA CLD 10MG 120 CPS PRATI        |5
3593       SB COMERCIO LTDA        |4000721|80.0|DECONGEX PLUS XPE 120ML                 |8
3593       SB COMERCIO LTDA        |4000066|70.0|CEFALIV 12CPR                           |7
3593       SB COMERCIO LTDA        |4003894|100.0|BUPROVIL 300MG CX C/20CP MULTILAB       |10
3593       SB COMERCIO LTDA        |4005720|30.0|COLIDIS 5ML                             |3
3593       SB COMERCIO LTDA        |4002218|20.0|SOYFEMME C/30CP                         |2
3593       SB COMERCIO LTDA        |4005050|36.0|ALCACHOFRA MILIAN 200MG C/120CP (MUL)   |3
3593       SB COMERCIO LTDA        |4004125|24.0|TARFIC 0,3MG/G POM 10G OR BG (LIB)      |2
3593       SB COMERCIO LTDA        |4000728|48.0|FLOGORAL LIMAO 12PAST                   |4
3593       SB COMERCIO LTDA        |4002443|48.0|IRRITRATIL 200MG C/ 30 CAPS             |4
3593       SB COMERCIO LTDA        |4003815|30.0|QUETROS 25MG C/30CP C1 ACHE             |3
3593       SB COMERCIO LTDA        |4000732|48.0|TRANSPULMIN BALS 20G                    |4
3593       SB COMERCIO LTDA        |4002092|36.0|REVANGE 37,5+325MG C/20CP               |3
3593       SB COMERCIO LTDA        |4000498|30.0|BIOFENAC DI 46,5MG C/20CP               |3
3593       SB COMERCIO LTDA        |4000061|36.0|BRAVAN 320MG C/30CP                     |3
3593       SB COMERCIO LTDA        |4003677|20.0|ARISTAB 15MG C/30CP ACHE                |2
3593       SB COMERCIO LTDA        |4003816|13.0|QUETROS 100MG C/30CP C1 ACHE            |1
3593       SB COMERCIO LTDA        |4002911|20.0|DORENE 150MG C/30CP GEL                 |2
3593       SB COMERCIO LTDA        |4005353|20.0|BIOMAG 10MG C/60CP                      |2
3593       SB COMERCIO LTDA        |4003952|20.0|QUETROS 25MG C/15CP C1 (ACH)            |2
3593       SB COMERCIO LTDA        |4004312|20.0|DONAREN RETARD 150MG C/20CP APS         |2
3593       SB COMERCIO LTDA        |4000713|36.0|CARNABOL C/20CP                         |3
3593       SB COMERCIO LTDA        |4000733|24.0|TRANSPULMIN INF 5SUP                    |2
3593       SB COMERCIO LTDA        |4002326|12.0|CATIVA SACHÊ 30 SACHÊS C/06 G           |1
3593       SB COMERCIO LTDA        |4002087|20.0|BIOMAG 10MG C/30CP                      |2
3593       SB COMERCIO LTDA        |4002088|20.0|BIOMAG 15MG C/30CP                      |2
3593       SB COMERCIO LTDA        |4004076|60.0|PANTOPRAZOL 40MG 42CPR NF               |6
3593       SB COMERCIO LTDA        |4001505|24.0|PANTOPRAZOL 40MG CX 28CP-EUROFARMA      |2
3593       SB COMERCIO LTDA        |4004069|50.0|ISOCONAZOL NITR CR 20G CRISTALIA        |5
3593       SB COMERCIO LTDA        |4001499|24.0|MUPIROCINA 20MG POM TUBO 15G-EUROFARMA  |2
3593       SB COMERCIO LTDA        |4003624|20.0|BROMAZEPAM 3MG 20CP - EUROFARMA         |2
3593       SB COMERCIO LTDA        |4003634|20.0|AMOXICILINA 500MG 15CAP - EUROFARMA     |2
3593       SB COMERCIO LTDA        |4004080|24.0|QUETIAPINA 100MG 30CP                   |2
3593       SB COMERCIO LTDA        |4004081|24.0|QUETIAPINA 200MG 30CP                   |2
3593       SB COMERCIO LTDA        |4004088|20.0|TRIANCINOLONA + ASSOCIACOES POM 30G     |2
3593       SB COMERCIO LTDA        |4001454|20.0|ALGESTONA+EST 150+10MG 1 AMPOLA 1ML -EUR|2
4239       TAPAJOS COMERCIO DE MEDI|4006391|100.0|DORFLEX 50 CPD                          |10
4239       TAPAJOS COMERCIO DE MEDI|4000869|48.0|DORFLEX ICY HOT C/3 ADESIVOS ELAST      |4
4239       TAPAJOS COMERCIO DE MEDI|4000865|80.0|DORFLEX ICY HOT SPRAY 118ML             |8
4239       TAPAJOS COMERCIO DE MEDI|4001622|20.0|OSCAL KIDS SUSP C/150ML                 |2
4239       TAPAJOS COMERCIO DE MEDI|4001904|20.0|VITAWIN KIDS C/150ML                    |2
10309      F DO NASCIMENTO GRILLO F|6000412|20.0|COOKIE BISCOLEVE BANANA+CANELA 120g     |2
10309      F DO NASCIMENTO GRILLO F|6000413|20.0|COOKIE BISCOLEVE CHOCOLATE 120g         |2
10309      F DO NASCIMENTO GRILLO F|6000414|20.0|ROSQUINHA BISCOLEVE COCO 120g           |2
10322      PRONATUS DO AMAZONAS IND|6000731|119.0|COMP D MEL MAST/LEITE D AMAPA 100G      |11
10322      PRONATUS DO AMAZONAS IND|6000728|100.0|COMP D MEL C/MANGARATAIA E LIMAO 100G   |10
3593       SB COMERCIO LTDA        |4001620|3.0|COREGA ULTRA PO C/40G                   |0
4239       TAPAJOS COMERCIO DE MEDI|4003564|1.0|IMECAP KIT QUED INTENSA SH+LOC+30CAP DIV|0
10227      EMPRESA BRASILEIRA DE DI|6001415|1.0|CHOCOLATE KINDER BUENO WHITE-CX30       |0
10227      EMPRESA BRASILEIRA DE DI|6001415|2.0|CHOCOLATE KINDER BUENO WHITE-CX30       |0
10227      EMPRESA BRASILEIRA DE DI|6001415|1.0|CHOCOLATE KINDER BUENO WHITE-CX30       |0
12005      SANTA MÔNICA DIST DE PRO|4005908|80.0|PARACETAMOL 750MG 20 CPS PRATI          |8
12005      SANTA MÔNICA DIST DE PRO|4005850|40.0|CETOCONAZOL CR 30G PRATI                |4
12005      SANTA MÔNICA DIST DE PRO|4005881|120.0|MEMANTINA CLD 10MG 60 CPS PRATI         |12
12005      SANTA MÔNICA DIST DE PRO|4005943|120.0|PRATIGLOS POM 45G PRATI                 |12
12005      SANTA MÔNICA DIST DE PRO|4005879|120.0|MEMANTINA CLD 10MG 120 CPS PRATI        |12
12005      SANTA MÔNICA DIST DE PRO|4005880|120.0|MEMANTINA CLD 10MG 30 CPS PRATI         |12
12005      SANTA MÔNICA DIST DE PRO|4005871|120.0|INDAPAMIDA LP 1,5MG 60 CPS PRATI        |12
12005      SANTA MÔNICA DIST DE PRO|4005865|120.0|FENOTEROL BRD 5MG/ML GTS PL 20ML PRATI  |12
12005      SANTA MÔNICA DIST DE PRO|4005833|120.0|BETA+AC SALICIL 0,64+20MG/ML SOL PL 30ML|12
12005      SANTA MÔNICA DIST DE PRO|4005838|120.0|BETAMETASONA+AC SALICIL POM 30G PRATI   |12
12005      SANTA MÔNICA DIST DE PRO|4005840|120.0|BETAMETASONA+CETOCONAZOL POM 30G PRATI  |12
4916       MAPEMI-BRASIL MATERIAIS |4003322|1.0|GASTROL ABACAXI EFER 50EVX5G NQM        |0
4916       MAPEMI-BRASIL MATERIAIS |4003833|1.0|GASTROL LIMAO EFER C/50EVX5G NEO QUIMI  |0
4916       MAPEMI-BRASIL MATERIAIS |4001448|300.0|NEOSORO SOL NASAL ADT FRASCO 30ML       |30
4916       MAPEMI-BRASIL MATERIAIS |4005294|200.0|VITER C EFERVESCENTE 1G C/10CP (NTF)    |20
4916       MAPEMI-BRASIL MATERIAIS |4005270|300.0|NITAZOXANIDA 500MG 6 COMPRIMIDOS (NQG)  |30
4916       MAPEMI-BRASIL MATERIAIS |4001041|120.0|TORSILAX CX 30CP                        |12
4916       MAPEMI-BRASIL MATERIAIS |4002527|120.0|NEODIA 1,5MG C/1CP (NQF)                |12
4916       MAPEMI-BRASIL MATERIAIS |4005292|100.0|VITER C 500MG C/20CP (NTF)              |10
4916       MAPEMI-BRASIL MATERIAIS |4005289|200.0|STARFOR C 1G C/10CP EFERV (NTF)         |20
4916       MAPEMI-BRASIL MATERIAIS |4001765|240.0|NAPROXENO 550MG CX 10CP-NEO QUIMICA     |24
4916       MAPEMI-BRASIL MATERIAIS |4000995|240.0|IVERNEO 6MG CX 2CP                      |24
4916       MAPEMI-BRASIL MATERIAIS |4001751|240.0|LEVONORGESTREL 1,5MG -NEOQ              |24
4916       MAPEMI-BRASIL MATERIAIS |4002743|60.0|NIMESULIDA 100MG C/12CP NEOQUIMICA      |6
4916       MAPEMI-BRASIL MATERIAIS |4001040|300.0|TORSILAX CX 12CP                        |30
4916       MAPEMI-BRASIL MATERIAIS |4000992|120.0|HISTAMIN 2MG CX 20CP                    |12
4916       MAPEMI-BRASIL MATERIAIS |4001127|60.0|NEOFOLICO 5MG CX 20CP                   |6
4916       MAPEMI-BRASIL MATERIAIS |4005090|100.0|IBUPROTRAT SUSPENSÃO 30ML CX100         |10
4916       MAPEMI-BRASIL MATERIAIS |4003013|60.0|NAPRONAX 550MG 10CP NEOQUIMICA          |6
4916       MAPEMI-BRASIL MATERIAIS |4003335|60.0|HIPODERMON 45G NEOQUIMICA               |6
4916       MAPEMI-BRASIL MATERIAIS |4001008|60.0|NEOSULIDA 100MG CX 12CP                 |6
4916       MAPEMI-BRASIL MATERIAIS |4006283|50.0|EQUALIV VITAMINC C 500MG X 30 CPR       |5
4916       MAPEMI-BRASIL MATERIAIS |4005268|30.0|NEOLEFRIN C/20CP (NQF)                  |3
4916       MAPEMI-BRASIL MATERIAIS |4004363|90.0|DECNAZOL 1000MG C/2CP                   |9
4916       MAPEMI-BRASIL MATERIAIS |4001263|60.0|GLIBENCLAMIDA 5MG CX 30CP-NEOQUIMICICA G|6
4916       MAPEMI-BRASIL MATERIAIS |4002830|60.0|LORATADINA 10MG C/12CP                  |6
4916       MAPEMI-BRASIL MATERIAIS |4001147|100.0|PROPIOSOL CREME TUBO 30G                |10
4916       MAPEMI-BRASIL MATERIAIS |4003341|60.0|IBUFRAN GTS 50MG/ML 30ML NEOQUIMICA     |6
4916       MAPEMI-BRASIL MATERIAIS |4001760|60.0|SILDENAFILA 50MG CX 4CP-NEO QUIMICA     |6
4916       MAPEMI-BRASIL MATERIAIS |4001129|180.0|NEOLEFRIN XPE CEREJA FRASCO 60ML        |18
4916       MAPEMI-BRASIL MATERIAIS |4001366|120.0|DICLOFENAC DIETILAMONIO EMULG TB 60G NQ |12
4916       MAPEMI-BRASIL MATERIAIS |4002817|120.0|DICLOFENACO SODICO 50MG C/20CP          |12
4916       MAPEMI-BRASIL MATERIAIS |4000964|180.0|CORTICORTEN 20MG CX 20CP                |18
4916       MAPEMI-BRASIL MATERIAIS |4001752|240.0|LOSARTANA POTASSICO 50MG CX 30CP-NEOQ   |24
4916       MAPEMI-BRASIL MATERIAIS |4003337|60.0|HISTAMIN SUSP 100ML NEOQUIMICA          |6
4916       MAPEMI-BRASIL MATERIAIS |4001130|60.0|NEOPIRIDIN SPRAY FRASCO 50ML            |6
4916       MAPEMI-BRASIL MATERIAIS |4001230|200.0|CLOBETASOL CREME TUBO 30G-NEO QUIMICA   |20
4916       MAPEMI-BRASIL MATERIAIS |4001148|100.0|PROPIOSOL POMADA TUBO 30G               |10
4916       MAPEMI-BRASIL MATERIAIS |4001123|50.0|NEOCOFLAN 11,6MG FRASCO 85ML            |5
4916       MAPEMI-BRASIL MATERIAIS |4002777|60.0|ATENOLOL 50MG C/30CP                    |6
4916       MAPEMI-BRASIL MATERIAIS |4001356|60.0|AMBROXOL ADT FRASCO 120ML-NEO QUIMICA   |6
4916       MAPEMI-BRASIL MATERIAIS |4001115|50.0|MASSAGEOL AEROSOL FRASCO 120ML          |5
4916       MAPEMI-BRASIL MATERIAIS |4002765|96.0|ORLISTATE 120MG C/84CP                  |9
4916       MAPEMI-BRASIL MATERIAIS |4001284|60.0|MELOXICAM 15MG CX 10CP-NEO QUIMICA      |6
4916       MAPEMI-BRASIL MATERIAIS |4005497|30.0|TADALAFILA 20MG CO-REV CX 4 NEO QUIMICA |3
4916       MAPEMI-BRASIL MATERIAIS |4002835|60.0|METOPROLOL XR 100MG C/30CP              |6
4916       MAPEMI-BRASIL MATERIAIS |4003355|100.0|NEO FRESH 5,0MG/ML SOL OFTAL 15ML NQM   |10
4916       MAPEMI-BRASIL MATERIAIS |4001763|100.0|DIPIRONA 500MG GTS FRASCO 10ML-NEOQ     |10
4916       MAPEMI-BRASIL MATERIAIS |4000963|60.0|CORTICORTEN 5MG CX 20CP                 |6
4916       MAPEMI-BRASIL MATERIAIS |4005266|60.0|NEOCOPAN C/20CP (NQO)                   |6
4916       MAPEMI-BRASIL MATERIAIS |4002855|30.0|PREDNISONA 5MG C/20CP                   |3
4916       MAPEMI-BRASIL MATERIAIS |4002843|30.0|OMEPRAZOL 20MG C/28CP                   |3
4916       MAPEMI-BRASIL MATERIAIS |4002744|60.0|PIROXICAM 20MG C/15CP                   |6
4916       MAPEMI-BRASIL MATERIAIS |4002651|40.0|TINIDAZOL+MICONAZOL CR VAG 40G+7AP NEO Q|4
4916       MAPEMI-BRASIL MATERIAIS |4001361|100.0|CETOCONAZOL CREME TUBO 30G-NEO QUIMICA  |10
4916       MAPEMI-BRASIL MATERIAIS |4001219|60.0|CETOCONAZOL 200MG CX 10CP-NEO QUIMICA   |6
4916       MAPEMI-BRASIL MATERIAIS |4001105|30.0|HIDRAPLEX PO NATURAL CX 4SACHE 27,9G    |3
4916       MAPEMI-BRASIL MATERIAIS |4001762|60.0|TENOXICAM 20MG CX 10CP-NEO QUIMICA      |6
4916       MAPEMI-BRASIL MATERIAIS |4001756|100.0|NIMESULIDA GTS FRASCO 15ML-NEOQUIMICA   |10
4916       MAPEMI-BRASIL MATERIAIS |4002813|60.0|DEXCLORFENIRAMINA 2MG C/20CP            |6
4916       MAPEMI-BRASIL MATERIAIS |4002852|100.0|PARACETAMOL GTS C/15ML                  |10
4916       MAPEMI-BRASIL MATERIAIS |4001759|60.0|SILDENAFILA 50MG CX 2CP-NEO QUIMICA     |6
4916       MAPEMI-BRASIL MATERIAIS |4002823|30.0|FUROSEMIDA 40MG C/20CP                  |3
4916       MAPEMI-BRASIL MATERIAIS |4004150|100.0|BRONQTRAT INF 100ML NATULAB             |10
4916       MAPEMI-BRASIL MATERIAIS |4003565|100.0|MATHERLLY GEST C/30CP NATURELIFE        |10
4916       MAPEMI-BRASIL MATERIAIS |4003372|120.0|NEOMISTATIN CREME VAG 60G NEOQUIMICA    |12
4916       MAPEMI-BRASIL MATERIAIS |4002828|60.0|IBUPROFENO 400MG C/10CP                 |6
4916       MAPEMI-BRASIL MATERIAIS |4001064|200.0|BUSCOPLEX COMPOSTO FRASCO 20ML          |20
4916       MAPEMI-BRASIL MATERIAIS |4001314|60.0|PREDNISONA 20MG CX 10CP-NEO QUIMICA     |6
4916       MAPEMI-BRASIL MATERIAIS |4001315|120.0|PREDNISONA 20MG CX 20CP-NEO QUIMICA     |12
4916       MAPEMI-BRASIL MATERIAIS |4000014|60.0|ASSEPTCARE SOL TOPICA FRASCO 30ML       |6
4916       MAPEMI-BRASIL MATERIAIS |4002844|120.0|OMEPRAZOL 20MG C/56CP                   |12
4916       MAPEMI-BRASIL MATERIAIS |4002849|120.0|PARACETAMOL 750MG C/20CP                |12
4916       MAPEMI-BRASIL MATERIAIS |4001357|120.0|AMBROXOL INF FRASCO 120ML-NEO QUIMICA   |12
4916       MAPEMI-BRASIL MATERIAIS |4003374|60.0|NEOSSOLVAN PED 120ML NEOQUIMICA         |6
4916       MAPEMI-BRASIL MATERIAIS |4002829|117.0|IBUPROFENO 50MG/ML GTS C/30ML           |11
4916       MAPEMI-BRASIL MATERIAIS |4001242|60.0|DEXCLORF+BETAMETAS XPE FRASCO 120ML-NEO |6
4916       MAPEMI-BRASIL MATERIAIS |4001124|100.0|NEOCOFLAN GEL TUBO 30G                  |10
