Material;Texto breve material
4000068;CLOPIN 75MG 30CPR REV                   
4000069;COLPISTATIN CREME VAGINAL40G 10APLIC    
4000070;COMBIRON FOLICO 45CPR REV               
4000071;COMBIRON GTS 30ML                       
4000072;COMBIRON SOL ORAL 120ML                 
4000073;DECADRON 4MG 10CPR                      
4000074;DECADRON ELIXIR 120ML                   
4000075;DECADRON INJETÃVEL 2MG 2AMP 1ML         
4000076;DECADRON SOL NASAL 20ML                 
4000077;DECADRON SOL OFT 5ML                    
4000079;DIOSMIN C/30CP                          
4000080;DIOSMIN C/60CP                          
4000081;DIOSMIN SDU 900+100MG LARANJA/LIMAO 15SA
4000082;DIOSMIN SDU GRAN ABACAXI 30EVX5G        
4000083;DUO DECADRON INJ FR/AMP 8MG/ML 1ML      
4000086;ESALERG XPE 0,5MG 60ML+SER DOSAD        
4000087;FEMINA 21CPR                            
4000088;FEMME FOLICO 5MG 30CPR REV              
4000089;FENTIZOL CR DERM 20G                    
4000090;FENTIZOL CR VAG 2% 40G 7APLIC           
4000091;FENTIZOL OVULO VAG 600MG 1APLIC         
4000092;FISIOTON 400MG 30CPR                    
4000093;FLOGO ROSA PO 10ENV 9 4G                
4000094;GLICOLIVE 1500MG PO C/30EVX4G           
4000095;LABEL LIQ 120ML                         
4000096;LEUCOGEN XPE 120ML (PBM)                
4000097;LEVOID 100MG 30CPR REV                  
4000098;LEVOID 112MCG C/30CP                    
4000099;LEVOID 125MG 30CPR REV                  
4000100;LEVOID 25MG 30CPR REV                   
4000101;LEVOID 50MG 30CPR REV                   
4000102;LEVOID 75MG 30CPR REV                   
4000103;LEVOID 88MCG C/30CP                     
4000104;LIBERAFLUX XPE 7,5MG/ML 100ML+COPO      
4000105;MERITOR 2/1000MG C/30CP (PBM)           
4000106;MERITOR 4/1000MG C/30CP (PBM)           
4000107;MIONEVRIX 20CPR                         
4000108;MIRTAX 5 MG 15CPR REV                   
4000109;MIRTAX 5 MG 30CPR REV                   
4000110;MIRTAX 10 MG 15CPR REV                  
4000111;MIRTAX 10MG 30CPR REV                   
4000112;MONTELAIR 10MG 30CPR REV                
4000113;MONTELAIR 4MGx30CP MASTIGA              
4000114;NISULID 12CPR                           
4000115;NISULID DISPERSIVEL 100MG 12CPR         
4000116;NISULID GTS 15ML                        
4000117;NOTUSS TSS ADUT 3MG/ML 120ML+COPO       
4000118;NOTUSS TSS PED 1,5MG/ML 120ML+SER       
4000119;NOVACORT CR 10G                         
4000120;NOVACORT CR 30G                         
4000121;NOVACORT POM 30G                        
4000122;NOVAMOX 2X 400/57MG 100ML               
4000123;NOVAMOX 2X 400/57MG 70ML                
4000124;NOVAMOX 2X 875/125MG 14CPR              
4000125;NOVAMOX 2X 875/125MG 20CPR              
4000126;NOVOCILIN 250MG SUSP 150ML              
4000127;NOVOCILIN 400MG SUSP 100ML              
4000128;NOVOCILIN 500MG 21CAPS                  
4000129;NOVOCILIN 875MG 20CAPS                  
4000130;PARASIN SUSP ORAL 10ML                  
4000131;PRELONE 11MG GTS 20ML                   
4000132;PRELONE 20MG 10CPR                      
4000133;PRELONE 3MG 60ML + DOSADOR              
4000134;PRELONE 5MG 10CPR                       
4000135;PRELONE 5MG 20CPR                       
4000136;SORINE SOL NASAL AD 30ML                
4000137;TANDRILAX 15CPR                         
4000138;TANDRILAX 30CPR                         
4000139;VERTIX 10MG 50CPR                       
4000140;VERTIZINE D 20CPR                       
4000141;AAS INF 100MG C/30CP                    
4000142;AAS INF 100MG C/120CPR                  
4000143;AAS INF 100MG C/20BLX10CP CX20          
4000144;ALLEGRA 120MG 10CPR                     
4000145;ALLEGRA 180MG 10CPR                     
4000146;ALLEGRA 60MG 10CPR REV                  
4000147;ALLEGRA D 10CPR REV                     
4000148;ALLEGRA SUSP PED 150ML                  
4000149;ALLEGRA SUSP PED 60ML                   
4000150;ATURGYL AD 15ML                         
4000151;BI PROFENID 150MG 10CPR                 
4000152;BUCLINA 25MG 30CPR                      
4000156;COLTRAX 4MG C/20CP                      
4000157;DEPURA 1000 UI C/30CP                   
4000158;DEPURA 2000 UI C/30CP                   
4000159;DEPURA 7000UI C/8CP                     
4000160;DACTIL OB 30DRG                         
4000161;ENTEROGERMINA 05FRA 5ML SANOFI          
4000162;FENERGAN 20MG CR 30G                    
4000163;FENERGAN 25MG 20CPR                     
4000164;FENERGAN EXPECT AD 100ML                
4000165;FENERGAN EXPECT PED 100ML               
4000166;FLAGYL NIST CREME VAGINAL 50G 10APLIC   
4000167;FLAGYL 250MG C/20CP                     
4000168;FLAGYL 400MG C/24CP                     
4000169;HEXOMEDINE COLUTORIO 50ML               
4000170;LASIX 40MG 20CPR                        
4000171;LOPROX SOL 15ML                         
4000172;LOPROX CR DERMATOLÃGICO 20G             
4000173;PEPSAMAR 230MG 50CAP SANOFI             
4000174;PLASIL 10MG 20CPR                       
4000176;PROFENID 50MG 24CAPS                    
4000177;PROFENID ENT 100MG 20CPR                
4000178;PROFENID GTS 20ML                       
4000179;PROFENID RET 200MG 10CPR                
4000186;RIFALDIN 300MG 6CAPS                    
4000187;RIFOCINA SPRAY 20ML                     
4000188;SECNIDAL 1000MG 2CPR                    
4000189;DIPROSPAN HYPAK FR/AMP 1ML              
4000190;DIPROSPAN INJ 1AMP 1ML                  
4000191;GINGILONE POM 10G                       
4000192;MACRODANTINA 100MG 28CAPS               
4000193;MAXSULID 400MG 10CPR                    
4000195;PREDSIM 20MG 10CPR                      
4000196;PREDSIM 40MG 7CPR                       
4000197;PREDSIM 5MG 10CPR                       
4000198;PREDSIM 5MG 20CPR                       
4000199;PREDSIM GTS 20ML                        
4000200;PREDSIM PED SOL 100ML                   
4000201;PREDSIM PED SOL 60ML                    
4000203;CELESTAMINE XPE S/ACUCAR 120ML          
4000207;CELESTONE 4MG INJ C/1X1ML               
4000212;DIPROSONE CREME 30G                     
4000214;DIPROSONE POMADA 30G                    
4000215;MIOFLEX-A C/12CP                        
4000216;ASTRO 500MG 2CPR                        
4000217;ASTRO 500MG 3CPR                        
4000218;ASTRO 500MG 5CPR                        
4000219;ASTRO 600MG SUSP PO ORAL+DIL 9ML+SER DOS
4000220;ASTRO 900MG SUSP PO ORAL+DIL 9ML+SER DOS
4000221;CREVAGIM CREM VAGINAL 40G+7APL          
4000222;DEJAVU 50MG 2CPR                        
4000223;DEJAVU 50MG 4CPR                        
4000224;DEXALGEN INJ 6AMP 1ML 3DOSES            
4000225;DUOMO 2MG 30CPR                         
4000226;DUOMO HP 2MG+5MG 30CAPS                 
4000227;EBASTEL 10MG 10CPR                      
4000228;EBASTEL XPE 60ML                        
4000229;MELOCOX 15MG 10CPR                      
4000230;MUSCULARE 10MG 15CPR REV                
4000231;MUSCULARE 10MG 30CPR REV                
4000232;MUSCULARE 5MG 30CPR REV                 
4000233;NOEX 100MCG 100DOSES SPRAY NASAL        
4000234;NOEX 32MCG 120DOSES SUSP NASAL EUROFARMA
4000235;NOEX 50MCG 200DOSES SPRAY NASAL         
4000236;NOEX 64MCG 120DOSES SPRAY NASAL         
4000237;PANTOCAL 20MG 14CPR                     
4000238;PANTOCAL 40MG 14CPR                     
4000239;PRIMERATRINTA 30MCG 21CPR REV           
4000240;PRIMERAVINTE 20MCG 21CPR REV            
4000241;PROFLAM 1,5 PC CREME C/30G              
4000242;PROFLAM 100MG C/12CP                    
4000243;SINOT 400 MG 1FR-100ML+DOSE             
4000244;SINOT CLAV 400MG 70ML (AC)              
4000245;SINOT CLAV 875+125MG 14CPR (AC)         
4000246;TADA 20MG 2CPR                          
4000247;TROK CREME DERMAT C/10G                 
4000248;TROK CREME DERMAT C/30G                 
4000249;TROK POM DERMAT C/10G                   
4000250;TROK POM DERMAT C/30G                   
4000251;TROK-N CREME DERMAT C/10G               
4000252;TROK-N CREME DERMAT C/30G               
4000253;VARTAZ 160G C/30CP                      
4000254;VARTAZ 320G C/30CP                      
4000257;SYNTHROID 25MCG C/30CP                  
4000258;SYNTHROID 75MCG C/30CP                  
4000259;SYNTHROID 100MCG C/30CP                 
4000260;SYNTHROID 112MCG C/30CP                 
4000261;SYNTHROID 125MCG C/30CP                 
4000262;SYNTHROID 137MCG C/30CP                 
4000263;SYNTHROID 150MCG C/30CP                 
4000264;SYNTHROID 175MCG C/30CP                 
4000265;SYNTHROID 200MCG C/30CP                 
4000266;SYNTHROID 50MCG C/30CP                  
4000267;SYNTHROID 88MCG C/30CP                  
4000268;COBAVITAL 1MG/4MG C/16CP                
4000269;LIPIDIL 160MG C/30CP                    
4000270;LIPIDIL 200MG C/30CP                    
4000271;IRUXOL MONO POM 15G ABBOTT              
4000272;IRUXOL COLAGENASE 0,6U/0,01G POM 30G    
4000273;KLARICID PED 25MG/ML 60ML S/DIL         
4000274;KLARICID PED 50MG/ML 60ML S/DIL         
4000275;KLARICID UD 500MG C/7CP                 
4000276;RITMONORM 300MG C/30CP                  
4000278;VIBRAL 1,5MG/ML XPE PED C/120ML         
4000279;VIBRAL 30MG/ML SOL ORAL 10ML            
4000280;VIBRAL XPE ADT C/120ML                  
4000281;AZORGA 6ML                              
4000282;CLENS-100 GTS C/15ML                    
4000283;OPTI-FREE REPLENISH 300+120ML           
4000284;OPTI-FREE EXPRESS 355+120ML             
4000285;CERUMIN SOL OTOLOGICA C/8ML             
4000286;CILODEX POM OFTALM C/3,5G               
4000287;CILODEX SUS OFTALM 3,0MG/ML C/5ML       
4000288;CLARIL SOL OFT C/15ML                   
4000289;CLAROFT SOL OFTALMICA C/15ML            
4000290;GLAUTIMOL 0,5PC SOL C/5ML               
4000291;LACRIMA PLUS SOL OFTALM C/15ML          
4000292;MAXIDEX SUS OFT C/5ML                   
4000293;MAXITROL POM OFTALM. C/3.5G             
4000294;MAXITROL SUS OFT C/5ML                  
4000295;OFTANE LUBRIC OFTALM C/10ML             
4000296;PATANOL S SOL 0,2 PC C/2,5ML            
4000297;PATANOL SOL 0,1 C/5ML                   
4000298;SYSTANE UL 15ML                         
4000299;SYSTANE UL LUB OFT C/10ML               
4000300;DUO-TRAVATAN BAK FREE SOL 2,5ML         
4000301;TRAVATAN C/2,5ML                        
4000302;TOBRADEX SOLUCAO C/5ML                  
4000303;TOBREX POM OFT C/3,5G                   
4000304;TOBREX SOL OFTALMICA C/5ML              
4000305;TRISORB SOL OFT C/15ML                  
4000306;VIGADEXA SOL OFTA C/5ML                 
4000307;VIGAMOX 0,5 PC SOL OFTAL C/5ML          
4000309;COMBIGAN SOL ESTERIL OFT 5ML            
4000311;FRESH TEARS SOL OFT 10ML                
4000312;OPTIVE SOL OFTALM C/10ML                
4000313;PRED FORT SOL OFT 5ML                   
4000314;RELESTAT 0,05% OFT 5ML                  
4000315;ZYMAR SOL OFT 0,3% 5ML                  
4000316;ZYPRED SOL OFT 6ML (AC)                 
4000317;ARPADOL 400MG C/30CP                    
4000318;FLANCOX 300MG C/14CP                    
4000319;FLANCOX 400MG C/10CP                    
4000320;FLANCOX 400MG C/20CP                    
4000321;LABIRIN 16MG C/30CP                     
4000322;LABIRIN 24MG C/30CP                     
4000323;LEVOXIN 500MG C/7CP                     
4000324;MECLIN 25MG C/15CP                      
4000325;MIOSAN CAF 5/30MG C/15CP                
4000326;MIOSAN CAF 10/60MG C/15CP               
4000327;ATACAND 8MG C/30CP                      
4000328;ATACAND 16MG C/30CP                     
4000329;ATACAND COMB 16/5MG C/30CP              
4000330;ATACAND HCT 8/12,5MG C/30CP             
4000331;ATACAND HCT 16/12,5MG C/30CP            
4000332;BUDECORT AQUA 32MCG 120DOSES SPRAY NASAL
4000333;CRESTOR 10MG C/30CP                     
4000334;CRESTOR 20MG C/30CP                     
4000335;CRESTOR 5MG C/30CP                      
4000336;BUDECORT AQUA 64MCG 120DOSES            
4000337;PULMICORT 0,25MG C/5FRX2ML (PBM)        
4000338;PULMICORT 0,50MG C/5FRX2ML (PBM)        
4000339;SELOZOK 25MG 30CPR                      
4000340;SELOZOK 50MG 30CPR                      
4000342;VIMOVO 500MG+20MG C/20CP                
4000343;XYLOCAINA POM 5% 25G                    
4000345;ASPIRINA PREVENT 100MG 30CPR            
4000346;CICLOPRIMOGYNA 21DRG                    
4000348;DIANE 35 2MG + 0,035MG CX 21 DRG        
4000349;CLIMENE 2MG DRG/2MG+1MG                 
4000350;FEMIANE 21DRG                           
4000352;LEVITRA 10MG C/1CP                      
4000354;MICROVLAR 1ENV 21DRG                    
4000355;PRIMOGYNA 1MG 28DRG                     
4000356;YASMIN 21CPR REV                        
4000357;YAZ C/24CP (PBM)                        
4000358;XARELTO 15MG C/14CP (PBM)               
4000359;XARELTO 15MG C/28CP (PBM)               
4000360;XARELTO 20MG C/14CP (PBM)               
4000361;ABLOK PLUS 25/12,5MG C/30CP             
4000362;ABLOK PLUS 50/12,5MG 30CP               
4000363;ABLOK PLUS 100/25MG 30CP                
4000364;ARADOIS 50MG C/30CP                     
4000365;ARADOIS H 50/12,5MG C/30CP              
4000366;DTN-FOL C/90CP                          
4000367;LEVEL COM 21 COMPRIMIDOS                
4000368;LIPLESS 100MG C/30CP                    
4000369;LIPLESS 100MGC/60CP                     
4000370;PRESS PLUS 2,5MG/10MG C/30CP            
4000371;PRESS PLUS 5MG/10MG C/30CP              
4000372;PRESSAT 2,5MG C/30CP                    
4000373;PRESSAT 5MG C/30CP                      
4000374;PRESSAT 10MG C/30CP                     
4000375;QUINOFLOX 500MG C/14CP                  
4000376;TANTIN C/28CP                           
4000377;ANGIPRESS 25MG C/30CP                   
4000378;ANGIPRESS 50MG C/30CP                   
4000379;ANGIPRESS CD 100MG +25MG C/30CP         
4000380;ANGIPRESS CD 25 MG 12,5 MG C/30CP       
4000381;ANGIPRESS CD 50 MG 12,5 MG C/30CP       
4000382;BUSONID 32MCG AQUOSA NASAL C/6ML        
4000383;BUSONID 64MCG AQUOSA NASAL C/6ML        
4000384;BUSONID AQUOSO 50MCG C/6ML              
4000385;BETALOR 5/25MG C/30CP (PBM)             
4000386;BETALOR 5/50MG C/30CP (PBM)             
4000387;CORUS 25MG C/30CP                       
4000388;CORUS 50MG C/30CP                       
4000389;CORDAREX 5MG C/30CP (BIO)               
4000390;CORDAREX 2,5MG C/30CP (BIO)             
4000391;CORUS H 50MG+12,5MG C/30CP              
4000392;LOTAR 5MG/50MG C/30CP (PBM)             
4000393;LOTAR 2,5MG/50MG C/30CP (PBM)           
4000394;LOTAR 5MG/100MG C/30CP (PBM)            
4000395;SINERGEN 5/20MG C/30CP (PBM)            
4000396;SINERGEN 2,5/10MG C/30CP (PBM)          
4000397;CLENIL A 400MCG C/10FLX2ML              
4000398;FLUIMUCIL 100MG 10PC INJ 5APX3ML        
4000399;FLUIMUCIL XPE 2% PED 120ML              
4000400;FLUIMUCIL D 600MG C/16EVX5G             
4000401;SEKI XAROPE 120ML                       
4000403;BESEROL C/4CP                           
4000404;PENETRO SOL INALANTE 45ML               
4000405;BINELLI GTS C/10ML                      
4000408;ELOTIN GTS C/5ML                        
4000409;BIALERGE C/20CP                         
4000410;BIALERGE ELIXIR C/100ML                 
4000411;BIALERGE SOL ORAL C/20ML                
4000412;VI-FERRIN C/60CP                        
4000413;VI-FERRIN ELIXIR C/150ML                
4000414;VI-FERRIN GTS C/20ML                    
4000415;ARTOGLICO 1,5G C/30EV                   
4000416;BRASART HCT 160/12,5MG C/30CP           
4000417;BRASART HCT 160/25MG C/30CP             
4000418;BRASART HCT 320/25MG C/30CP             
4000419;CONTRACEP INJ 150MG C/1X1ML             
4000420;ESOMEX 20MG C/14CP                      
4000421;ESOMEX 20MG C/28CP                      
4000423;NEUTROFER FOLICO 150MG C/30CP           
4000424;NEUTROFER FOLICO GTS 30M                
4000425;NEUTROFER 300MG C/30CP                  
4000426;NEUTROFER GTS 250MG C/30ML              
4000427;PREG-LESS 150MG+10MG 1APX1ML IV         
4000428;PROFLOX 500MG C/10CP                    
4000429;PROFLOX 500MG C/14CP                    
4000430;SIGMA-CLAV BD 875+125MG C/14CP          
4000431;SIGMALIV 5MG C/10CP                     
4000432;SIGMALIV XPE C/60ML                     
4000433;SOMALGIN CARDIO 100MG C/32CP            
4000434;TORAGESIC SLS 10MG C/20CP               
4000435;TROPINAL C/20CP                         
4000436;TROPINAL SOL 15ML                       
4000437;VELAMOX 250MG C/150ML                   
4000438;VELAMOX 500MG C/150ML                   
4000439;VELAMOX BD 400MG/5ML C/100ML            
4000440;VELAMOX BD 875MG C/14CP                 
4000441;DIVA C/21CP                             
4000442;ABRILAR XPE 100ML                       
4000443;ADOLESS 28CPR REV                       
4000444;ANNITA 20MG 100ML                       
4000445;ANNITA 20MG 45ML                        
4000446;ANNITA 500MG C/6CP                      
4000448;DOLAMIN 125MG 16CPR                     
4000449;DOLAMIN FLEX 125+5MG C/15CP (FMQ)       
4000450;GYNOMAX CR VAG 7APLIC 35G               
4000451;GYNOPAC CR VAG 35G 2CPR REV             
4000452;INICOX DP 15MG 5CPR                     
4000453;LIDOSPORIN SOL OTOL 10ML                
4000454;MARESIS AR SOL SPRAY 100ML              
4000455;MARESIS BABY SOL FR SPRAY 100ML         
4000456;MARESIS SOL SPRAY 100ML                 
4000457;MATERFOLIC 5MG 30CPR                    
4000458;MAREVAN 5 MG 10 COMPRIMIDOS             
4000459;OTO-BETNOVATE SOL OTOL 10ML             
4000460;OTOSPORIN SOL OTOL 10ML                 
4000464;AEROLIN SPRAY 200DOSES                  
4000466;AVAMYS 27,5MCG NASAL C/ 120 DOSES       
4000467;CLAVULIN 250MG SUSP 100ML (AC)          
4000468;CLAVULIN BD 400MG SUSP 70ML (AC)        
4000469;CLAVULIN BD 400MG SUSP 140ML (AC)       
4000470;COMBODART 30CAPS                        
4000471;FLIXOTIDE 250MCG SPY 60DOS+APL 5ML      
4000472;FLIXOTIDE 50MCG SPY 120DOS+APL          
4000473;NARAMIG 2,5MG C/4CP                     
4000474;SERETIDE 25/125MCG SPY C/120DOS (PBM)   
4000475;SERETIDE 50/100MCG DISKUS C/60DOS (PBM) 
4000476;SERETIDE 50/250MCG DISKUS C/60DOS (PBM) 
4000477;ZENTEL 400MG 1CPR                       
4000478;ZENTEL SUSP 10ML                        
4000479;LYSTATE 120 MG FR C/30CP                
4000480;UNO CICLO C/SERINGA C/1AP               
4000481;ADEFORTE GTS 15ML                       
4000482;ETNA C/50 COMP                          
4000483;BELARA C/21CP                           
4000484;FLORAX ADT C/5FLX5ML                    
4000485;FLORAX PED C/5FLX5ML                    
4000486;FLORAX SM ADT C/5FLX5ML                 
4000487;FLORAX SM PED C/5FLX5ML                 
4000488;IMOSEC 2MG 12CPR                        
4000489;KALYAMON KIDS SUSP TUTTI FRUTTI 250ML   
4000491;MOTILIUM 10MG 60CPR                     
4000492;MOTILIUM 10MG C/30CP                    
4000493;MOTILIUM SUSP 100ML                     
4000494;MOTILIUM SUSP 60ML                      
4000495;PANTELMIN 500MG 1CPR                    
4000496;PANTELMIN SUSP 30ML                     
4000497;BIOFENAC AEROSOL 60 g                   
4000498;BIOFENAC DI 46,5MG C/20CP               
4000500;MAXIFLOX SOL OFT C/5ML                  
4000501;MAXIFLOX -D SUS OFT C/5ML               
4000502;PLENIGELL SOL OFT C/5ML                 
4000503;TOBRACIN SUSP OFT C/5ML                 
4000505;ECOFILM SOL OFT C/5ML                   
4000506;ANCORON 100MG C/30CP                    
4000507;ANCORON 200MG C/30CP                    
4000508;TOPISON 1MG/G CREME C/20G               
4000509;TOPISON 1MG/G POMADA C/20G              
4000510;CARDILOL 12,5MG C/30C                   
4000511;CARDILOL 25MG C/30CP                    
4000512;CARDILOL 3,125MG C/30CP                 
4000513;CARDILOL 6,25MG C/30CP                  
4000514;DIMINUT C/21CP                          
4000515;ELANI 28 C/28CP                         
4000516;ELANI CICLO C/21CP                      
4000517;IUMI 3MG+20MCG C/24CP                   
4000518;NATIFA C/28CP                           
4000519;SUMAX 25MG C/4CP                        
4000520;VENZER HCT 8MG+12,5MG C/30CP            
4000521;CIALIS 20MG C/1CP                       
4000523;CIALIS 20MG C/2CP                       
4000524;DESONOL 0,05 PC POMADA C/30G            
4000525;DESONOL CREME C/30G                     
4000526;KOLANTYL GEL DMP SUS C/200ML            
4000528;OSTEONUTRI 600MG/400UI C/60CP           
4000529;PYLORIPAC IBP C/28CP                    
4000530;PYLORIPAC RET 30+500+500MG C/10BL       
4000531;VALTRIAN 50MG C/30CP                    
4000533;JANUMET 50/1000MG C/56CP                
4000534;JANUMET 50/500MG C/56CP                 
4000535;JANUMET 50/850MG C/56CP                 
4000536;JANUMET XR 100/1000 C/30CP              
4000537;JANUMET XR 50/1000MG C/60CP             
4000539;JANUVIA 100MG C/28CP                    
4000540;JANUVIA 50MG C/28CP                     
4000541;GLIFAGE 1G C/30CP                       
4000542;GLIFAGE XR 500MG C/30CP                 
4000543;GLIFAGE XR 750MG C/30CP                 
4000544;GLUCOVANCE 500/5MG C/30CP               
4000545;DEXA-CITONEURIN NFF C/3APX1ML           
4000547;ATAK CLAV 875/125MG 14CPR (AC)          
4000548;ATAK CLAV SUSP ORAL 70ML (AC)           
4000549;ATAK SUSP 400MG 100ML (AC)              
4000550;KOIDE D XPE PED 120ML                   
4000551;KOIDE ELIXIR PED 120ML                  
4000552;KOIDEXA ELIXIR 120ML                    
4000553;MUD CREME DERM 10G                      
4000554;TORANTE XPE 100ML                       
4000555;TRIAXIN IM 1G 1FR AMP 3,5ML INJ         
4000556;FORFIG 100MG C/30CP EUROFARMA           
4000557;FORFIG 200MG C/20CP                     
4000558;MINILAX C/7BS                           
4000559;SILIMALON C/20CP                        
4000560;TRANSAMIN 250MG C/12CP                  
4000561;VALERIANE NIKKHO 50MG C/20CP            
4000562;APRESOLINA 50MG C/20DRGS                
4000563;CATAFLAM 50MG C/10 CP                   
4000564;CATAFLAM 50MG C/20CP                    
4000566;CATAFLAM D 50MG C/20CP                  
4000567;DIOVAN AMLO FIX 160/5MG C/28CP (PBM)    
4000568;DIOVAN HCT 160/12,5MG C/28CP(PBM)       
4000569;DIOVAN HCT 320/12,5MG C/28CP (PBM)      
4000572;FORASEQ 12/400MCG C/60+60CP REFIL       
4000573;GALVUS 50MG C/56CP                      
4000574;GALVUS MET 50MG+1000MG C/56CP           
4000575;GALVUS MET 50MG+500MG C/56CP            
4000576;GALVUS MET 50MG+850MG C/56CP            
4000577;VOLTAREN RETARD 100MG C/10CP            
4000578;VOLTAREN SR 75MG C/20COMP               
4000579;BACTRIM 200/40MG SUS PED 100ML          
4000580;BACTRIM 400/80MG C/20CP                 
4000581;BACTRIM F 400/80MG SUS C/100ML          
4000582;BACTRIM F 800/160MG C/10CP              
4000583;CERAZETTE 75MG C/28CP                   
4000584;DAMATER C/30CP                          
4000585;MERCILON 150/20MCG C/21CP               
4000587;NASONEX SPY NASAL S/CHEIRO 60ATOM       
4000588;NUVARING 11,7+2,7MG/1AN VAG+1EV (PBM)   
4000590;DIAMICRON MR 30MG C/30CP                
4000591;DIAMICRON MR 60MG C/30CP                
4000592;FILINAR 10MG ADT C/120ML                
4000593;FILINAR 5MG PED 120ML                   
4000594;PHOSFOENEMA C/130ML                     
4000595;SIMECO PLUS SUS C/240ML                 
4000596;METICORTEN 5MG C/20CP                   
4000597;METICORTEN 20MG C/10CP                  
4000598;HELLEVA 80MG C/2CP                      
4000599;HELLEVA 80MG C/4CP                      
4000600;ALDACTONE 25MG C/30CP                   
4000601;ALDACTONE 50MG C/30CP                   
4000603;PONSTAN 500MG 24CPR                     
4000606;LIPITOR 10MG C/30CP                     
4000607;LIPITOR 20MG C/30CP                     
4000608;MINIDIAB 5MG C/30CP                     
4000609;MOTRIN 600MG C/12CP                     
4000610;VIAGRA 25MG C/4CP                       
4000611;VIAGRA 50MG C/1CP                       
4000612;VIAGRA 50MG C/2CP                       
4000613;DIABINESE 250MG C/30CP                  
4000614;DEPO-PROVERA 150MG 1FR-APX1ML+SER       
4000616;FELDENE SL 20MG C/10CP                  
4000617;NORDETTE C/21CP                         
4000618;OLMETEC 20MG C/30CP (PBM)               
4000619;OLMETEC HCT 20+12,5MG C/30CP (PBM)      
4000620;OLMETEC HCT 40+12,5MG C/30CP (PBM)      
4000622;LA KESIA                                
4000623;POINTTS SISTEMA 80ML                    
4000624;CATAFLAM SPORT ICE 120G                 
4000625;CATAFLAM SPORT ICE 60 G                 
4000626;CATAFLAMPRO 12H EMUGEL 23,2MG/G 50G     
4000627;CATAFLAMPRO 12H EMULG 23,2MG/G 100G     
4000628;CATAFLAMPRO AEROSOL 60G                 
4000629;CATAFLAMPRO ARTRITE EMULGEL 150G        
4000630;CATAFLAMPRO EMULGEL 11,6MG/G 30G        
4000631;CATAFLAMPRO EMULGEL 11,6MG/G C/60G      
4000634;OTRIVINA SOL NASAL AD C/15ML            
4000635;PRIVINA SOL NASAL 1PC C/15ML            
4000637;ANADOR 500MG 60BLX4CP CX60              
4000638;ANADOR 500MG C/24CP                     
4000639;BISOLVON EXPECT ADT C/120ML             
4000640;BISOLVON EXPECT INF C/120ML             
4000641;BISOLVON EXPECT SOL C/50ML              
4000642;BUSCODUO C/20COMP                       
4000644;BUSCOFEM 400MG C/10CAPS                 
4000645;BUSCOPAN 10MG C/20DRG                   
4000646;BUSCOPAN COMPOSTO C/20CP                
4000648;BUSCOPAN GTS 10MG C/20ML                
4000649;MUCOSOLVAN GOTAS C/50ML                 
4000650;MUCOSOLVAN EXP ADT C/120ML              
4000651;MUCOSOLVAN EXP PED C/120ML              
4000653;PHARMATON KIDDI C/200ML                 
4000654;ICACORT CREME 30G                       
4000655;ICADEN CREME C/20G                      
4000657;ULTRAPROCT LDO C/30G                    
4000658;BAYCUTEN-N CREME DERM C/40G             
4000659;CANESTEN CREME C/20G                    
4000660;CANESTEN SPRAY C/30ML                   
4000661;CLARITIN 10MG C/12CP                    
